nameseq,k1,k2,label
738,2.756702150313654,12.326269727934736,None
739,2.756702150313654,12.326269727934736,None
740,2.756702150313654,12.326269727934736,None
741,2.756702150313654,12.326269727934736,None
742,2.756702150313654,12.326269727934736,None
743,2.756702150313654,12.326269727934736,None
744,2.756702150313654,12.326269727934736,None
745,2.756702150313654,12.326269727934736,None
746,2.756702150313654,12.326269727934736,None
747,2.756702150313654,12.326269727934736,None
748,2.756702150313654,12.326269727934736,None
749,2.756702150313654,12.326269727934736,None
750,2.756702150313654,12.326269727934736,None
751,2.756702150313654,12.326269727934736,None
752,2.756702150313654,12.326269727934736,None
753,2.756702150313654,12.326269727934736,None
754,2.756702150313654,12.326269727934736,None
755,2.756702150313654,12.326269727934736,None
756,2.756702150313654,12.326269727934736,None
757,2.756702150313654,12.326269727934736,None
758,2.756702150313654,12.326269727934736,None
759,2.756702150313654,12.326269727934736,None
760,2.756702150313654,12.326269727934736,None
761,2.756702150313654,12.326269727934736,None
762,2.756702150313654,12.326269727934736,None
763,2.756702150313654,12.326269727934736,None
764,2.756702150313654,12.326269727934736,None
765,2.756702150313654,12.326269727934736,None
766,2.756702150313654,12.326269727934736,None
767,2.756702150313654,12.326269727934736,None
768,2.756702150313654,12.326269727934736,None
769,2.756702150313654,12.326269727934736,None
770,2.756702150313654,12.326269727934736,None
771,2.756702150313654,12.326269727934736,None
772,2.756702150313654,12.326269727934736,None
773,2.756702150313654,12.326269727934736,None
774,2.756702150313654,12.326269727934736,None
775,2.756702150313654,12.326269727934736,None
776,2.756702150313654,12.326269727934736,None
777,2.756702150313654,12.326269727934736,None
778,2.756702150313654,12.326269727934736,None
779,2.756702150313654,12.326269727934736,None
780,2.756702150313654,12.326269727934736,None
781,2.756702150313654,12.326269727934736,None
782,2.756702150313654,12.326269727934736,None
783,2.756702150313654,12.326269727934736,None
784,2.756702150313654,12.326269727934736,None
785,2.756702150313654,12.326269727934736,None
786,2.756702150313654,12.326269727934736,None
787,2.7521534587756684,12.27774979246206,None
788,2.7521534587756684,12.27774979246206,None
789,2.7521534587756684,12.27774979246206,None
790,2.7521534587756684,12.27774979246206,None
791,2.7521534587756684,12.27774979246206,None
792,2.7521534587756684,12.27774979246206,None
793,2.7521534587756684,12.27774979246206,None
794,2.7521534587756684,12.27774979246206,None
795,2.7521534587756684,12.27774979246206,None
796,2.673595847091826,6.006624975358348,None
797,2.673595847091826,6.006624975358348,None
798,2.673595847091826,6.006624975358348,None
799,2.673595847091826,6.006624975358348,None
800,2.673595847091826,6.006624975358348,None
801,2.673595847091826,6.006624975358348,None
802,2.673595847091826,6.006624975358348,None
803,2.673595847091826,6.006624975358348,None
804,2.673595847091826,6.006624975358348,None
805,2.673595847091826,6.006624975358348,None
806,2.673595847091826,6.006624975358348,None
807,2.673595847091826,6.006624975358348,None
808,2.673595847091826,6.006624975358348,None
809,2.673595847091826,6.006624975358348,None
